talker	recording	task	condition	SFP.chinese	SFP.jyutping	SFP.ipa	F0.hz	duration.ms	mean.F0.utterance	mean.syll.duration.ms
s124	s124cl	cl	CDS	喎	wo3	wɔ	175.59	40.99999999993997	175.5930269	322.749999999985
s124	s124cl	cl	CDS	喎	wo3	wɔ	175.59	45.00000000007276	193.1694403	103.7499999999909
s124	s124cl	cl	CDS	呢	le1	lɛ	216.41	67.99999999998363	240.91483805000001	79.49999999999591
s124	s124cl	cl	CDS	呢	le1	lɛ	184.33	53.99999999985994	228.25179825	70.99999999996953
s124	s124cl	cl	CDS	喎	wo3	wɔ	160.12	86.00000000001273	166.33803665	149.0000000000009
s124	s124cl	cl	CDS	喎	wo3	wɔ	160.12	68.99999999995998	177.1934507	157.2500000000332
s124	s124cl	cl	CDS	喎	wo3	wɔ	187.35	297.00000000002547	232.65322943333334	291.7500000000359
s124	s124cl	cl	CDS	呢	le1	lɛ	175.13	197.00000000011642	167.55528145	231.75000000003365
s124	s124cl	cl	CDS	呢	le1	lɛ	138.22	83.00000000008367	180.51447596666668	140.75000000002547
s124	s124cl	cl	CDS	喎	wo3	wɔ	186.82	228.99999999981446	201.2352268125	417.24999999996726
s124	s124cl	cl	CDS	囉	lo1	lɔ	108.17	99.99999999990905	202.6248337	327.49999999998636
s124	s124cl	cl	CDS	喎	wo3	wɔ	108.17	112.00000000008004	269.2881992	153.00000000002
s124	s124cl	cl	CDS	囉	lo1	lɔ	154.61	161.0000000000582	169.8972947	380.2500000000464
s124	s124cl	cl	CDS	喎	wo3	wɔ	166	162.00000000026193	192.04415045000002	145.50000000008367
s124	s124cl	cl	CDS	喎	wo3	wɔ	177.55	320.9999999999127	201.08140685	195.24999999998727
s124	s124cl	cl	CDS	喎	wo3	wɔ	205.9	202.00000000022555	205.8953029	118.00000000005184
s124	s124cl	cl	CDS	喎	wo3	wɔ	205.9	92.9999999998472	261.1708188333333	153.24999999995725
s124	s124cl	cl	CDS	囉	lo1	lɔ	187.44	88.00000000019281	211.07423075	81.99999999999363
s124	s124cl	cl	CDS	喎	wo3	wɔ	170.22	65.00000000005457	202.34699304999998	108.74999999998636
s124	s124cl	cl	CDS	喎	wo3	wɔ	170.22	204.99999999992724	NaN	103.7499999999909
s124	s124cl	cl	CDS	囉	lo1	lɔ	214.11	67.00000000000728	198.70593	106.75000000003365
s124	s124cl	cl	CDS	喎	wo3	wɔ	250.8	181.999999999789	267.8233884	165.4999999999518
s124	s124cl	cl	CDS	喎	wo3	wɔ	250.8	405.0000000002001	258.31704095	183.75000000003183
s125	s125ali	ali	ADS	囉	lo1	lɔ	234.8	39.00000000000148	175.34429002336216	1124.7500000000023
s125	s125ali	ali	ADS	囉	lo1	lɔ	272.87	163.0000000000109	225.35661564369113	443.2500000000026
s125	s125ali	ali	ADS	囉	lo1	lɔ	622.85	37.99999999998249	NA	336.9999999999962
s125	s125ali	ali	ADS	囉	lo1	lɔ	157.96	128.00000000001432	162.88853084505737	284.5000000000013
s125	s125ali	ali	ADS	囉	lo1	lɔ	167.39	137.00000000000045	180.66567425550022	504.249999999999
s125	s125ali	ali	ADS	囉	lo1	lɔ	231.96	222.99999999998477	227.36768309531487	395.7499999999996
s125	s125ali	ali	ADS	囉	lo1	lɔ	214.06	203.9999999999793	200.67281621341752	240.99999999999966
s125	s125ali	ali	ADS	囉	lo1	lɔ	NA	38.000000000010914	NA	899.5000000000033
s125	s125ali	ali	ADS	囉	lo1	lɔ	289.37	165.00000000002046	203.12511209808852	476.2499999999932
s125	s125ali	ali	ADS	囉	lo1	lɔ	248.48	131.00000000002865	220.05342776563626	360.25000000000773
s125	s125ali	ali	ADS	囉	lo1	lɔ	292.36	93.00000000001774	196.67418407853324	230.75000000000045
s125	s125ali	ali	ADS	囉	lo1	lɔ	209.4	259.00000000001455	205.31596028288752	367.2499999999985
s125	s125ali	ali	ADS	囉	lo1	lɔ	427.73	42.00000000003001	427.7254382291682	120.50000000000693
s125	s125ali	ali	ADS	囉	lo1	lɔ	NA	36.000000000001364	NA	1478.999999999999
s125	s125ali	ali	ADS	囉	lo1	lɔ	437.94	38.99999999998727	241.06304875991066	489.7500000000008
s125	s125ali	ali	ADS	囉	lo1	lɔ	276.4	207.99999999997	218.8924268044201	414.50000000000387
s125	s125ali	ali	ADS	囉	lo1	lɔ	238.03	193.00000000004047	215.99256641928477	858.2500000000124
s125	s125ali	ali	ADS	囉	lo1	lɔ	227.95	197.00000000000273	227.94633904493327	111.75000000000068
s125	s125ali	ali	ADS	囉	lo1	lɔ	198.84	475.9999999999991	198.8396926026398	411.49999999998954
s125	s125ali	ali	ADS	囉	lo1	lɔ	195.82	349.0000000000464	213.59542551221276	489.750000000015
s125	s125ali	ali	ADS	囉	lo1	lɔ	247.98	216.00000000000819	215.78678742762574	531.4999999999941
s125	s125ali	ali	ADS	呢	le1	lɛ	169.64	244.0000000000282	203.42536879212366	513.4999999999934
s125	s125ali	ali	ADS	囉	lo1	lɔ	NA	36.999999999920874	NA	609.250000000003
s125	s125ali	ali	ADS	呢	le1	lɛ	227.93	197.99999999997908	215.77156247723136	177.00000000002092
s125	s125ali	ali	ADS	囉	lo1	lɔ	571.61	37.562999999977364	294.2731498699921	671.8906250000032
s125	s125ali	ali	ADS	囉	lo1	lɔ	285.56	182.99999999999272	202.6621771685901	275.74999999998795
s125	s125ali	ali	ADS	囉	lo1	lɔ	535.83	74.20700000000124	244.55027782715536	416.05175500001224
s125	s125ali	ali	ADS	囉	lo1	lɔ	552.83	38.000000000010914	249.60143360317937	379.5000000000073
s125	s125ali	ali	ADS	呢	le1	lɛ	291.06	216.99999999998454	214.6259788366803	399.249999999995
s125	s125ali	ali	ADS	囉	lo1	lɔ	187.74	164.99999999996362	210.8657998494846	458.7500000000091
s125	s125ali	ali	ADS	囉	lo1	lɔ	211.86	376.9999999999527	190.5157468590644	754.2499999999848
s125	s125ali	ali	ADS	呢	le1	lɛ	174.77	185.00000000005912	185.14602353523122	713.7500000000045
s125	s125ali	ali	ADS	囉	lo1	lɔ	345.25	185.00000000005912	236.55463053359622	248.75000000000114
s125	s125ali	ali	ADS	呢	le1	lɛ	309.12	124.00000000002365	219.02834164979905	836.0000000000127
s125	s125ali	ali	ADS	囉	lo1	lɔ	214.19	206.99999999999363	216.1987947516596	209.24999999999727
s125	s125ali	ali	ADS	喎	wo3	wɔ	363.09	197.00000000000273	252.15691990790563	719.2500000000166
s125	s125ali	ali	ADS	囉	lo1	lɔ	232.87	187.00000000001182	225.25033133438086	381.7500000000109
s125	s125ali	ali	ADS	囉	lo1	lɔ	164.67	42.00000000003001	185.2004655516538	367.999999999995
s125	s125ali	ali	ADS	喎	wo3	wɔ	164.67	35.000000000081855	264.4377667789563	741.2500000000364
s125	s125ali	ali	ADS	囉	lo1	lɔ	195.48	192.99999999998363	214.24603935210615	378.25000000003683
s125	s125ali	ali	ADS	囉	lo1	lɔ	126.43	42.99999999989268	175.04217655498098	318.2499999999777
s125	s125ali	ali	ADS	囉	lo1	lɔ	350.15	163.99999999998727	248.3137897165052	375.99999999997635
s125	s125ali	ali	ADS	囉	lo1	lɔ	NA	40.000000000190994	NA	495.00000000000455
s125	s125ali	ali	ADS	囉	lo1	lɔ	260.28	115.37500000008549	214.7812218530211	376.3437500000464
s125	s125ali	ali	ADS	囉	lo1	lɔ	221.24	144.9999999999818	NA	756.2499999999659
s125	s125ali	ali	ADS	囉	lo1	lɔ	303.19	35.12499999987995	303.18531271649687	181.28124999998363
s125	s125ali	ali	ADS	囉	lo1	lɔ	608.45	43.99999999986903	219.78999324580587	573.4999999999673
s125	s125ali	ali	ADS	囉	lo1	lɔ	307.16	36.00000000005821	221.70523356762197	676.5000000000327
s125	s125ali	ali	ADS	囉	lo1	lɔ	668.7	38.99999999998727	NA	569.7499999999991
s125	s125ali	ali	ADS	囉	lo1	lɔ	222.16	140.00000000010004	206.48704176142616	519.9999999999818
s125	s125ali	ali	ADS	喎	wo3	wɔ	222.16	271.9999999999345	NaN	285.5000000000132
s125	s125ali	ali	ADS	囉	lo1	lɔ	309.5	277.83400000021174	319.3148262229641	646.9583950000128
s125	s125ali	ali	ADS	囉	lo1	lɔ	518.46	39.99999999996362	273.30827955671464	192.49999999999545
s125	s125ali	ali	ADS	呢	le1	lɛ	160.96	211.00000000001273	185.30057113400727	712.7500000000282
s125	s125ali	ali	ADS	囉	lo1	lɔ	224.56	167.0000000001437	224.56031733573215	99.25000000004047
s125	s125ali	ali	ADS	囉	lo1	lɔ	655.13	38.99999999998727	338.4376178198755	237.25000000001728
s125	s125ali	ali	ADS	囉	lo1	lɔ	303.18	254.99999999988177	325.3932601224361	193.7499999999659
s125	s125ali	ali	ADS	囉	lo1	lɔ	298.19	139.0000000001237	206.00529694678164	189.75000000000364
s125	s125ali	ali	ADS	囉	lo1	lɔ	177.93	43.99999999986903	312.026832384221	235.99999999999
s125	s125cl	cl	CDS	喎	wo3	wɔ	330.1	314.00000000000006	241.392628875	355.9999999999999
s125	s125cl	cl	CDS	喎	wo3	wɔ	360.6	103.00000000000864	250.51374111666667	390.75000000001125
s125	s125cl	cl	CDS	喎	wo3	wɔ	286.4	38.000000000010914	225.339788075	784.4999999999942
s125	s125cl	cl	CDS	喎	wo3	wɔ	196.51	1156.9999999999823	221.80230013333335	1394.2499999999995
s125	s125cl	cl	CDS	呢	le1	lɛ	196.51	209.00000000000318	232.67492345	147.24999999999966
s125	s125cl	cl	CDS	喎	wo3	wɔ	196.51	144.9999999999818	231.32197796	548.7499999999983
s125	s125cl	cl	CDS	喎	wo3	wɔ	200.54	317.0000000000073	204.483124275	394.25000000001376
s125	s125cl	cl	CDS	囉	lo1	lɔ	225.26	628.0000000000427	225.79412697499998	527.0000000000152
s125	s125cl	cl	CDS	囉	lo1	lɔ	161.98	107.00000000008458	178.060726275	299.2500000000007
s125	s125cl	cl	CDS	喎	wo3	wɔ	167.95	467.9999999999609	179.15037705	341.99999999998454
s125	s125cl	cl	CDS	呢	le1	lɛ	211.04	141.99999999993906	172.57964066666668	227.99999999998022
s125	s125cl	cl	CDS	呢	le1	lɛ	233.63	114.99999999989541	221.69950233333333	168.74999999998863
